FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                 (unidad de medida),MAXIMO,MINIMO,CLAVE GOB
2014-12-30,PEMEX1,1,ABACABIR SULFATO,LAMIVUDINA CAJA 30 TABLETAS 600/300 MG,0,0,-
2014-12-30,PEMEX1,2,ABCIXIMAB,FRASCO AMPULA 5 ML 10 MG,0,0,-
2014-12-30,PEMEX1,3,ACEITE INSAPONIFICABLE DE PERSEA GRATISSIMA,GLYCINE MAX CAJA CON 15 CAPSULAS 100/200 MG,0,0,-
2014-12-30,PEMEX1,4,ACEITE MINERAL ,LANOLINA ANHIDRA TUBO UNGÜENTO 3.5 G 30 / 30 MG,0,0,-
2014-12-30,PEMEX1,5,ACEMETACINA,CAJA CON 28 CAPSULAS 60 MG,0,0,-
2014-12-30,PEMEX1,6,ACENOCUMAROL,CAJA CON 30 TABLETAS 4 MG,0,0,-
2014-12-30,PEMEX1,7,ACETILSALICILICO ACIDO,CAJA CON 28 COMPRIMIDOS 100 MG,0,0,-
2014-12-30,PEMEX1,8,ACETOZOLAMIDA,FRASCO 30 TABLETAS 250 MG,0,0,-
2014-12-30,PEMEX1,9,ACEXAMATO DE SODIO,SULFATO DE NEOMICINA EQUIVALENTE DE NEOMICINA UNGÜENTO TUBO 40 G 5 G/0.4 G 100 G,0,0,-
2014-12-30,PEMEX1,10,ACICLOVIR,TUBO UNGÜENTO 4.5 G 30 MG/G,0,0,-
2014-12-30,PEMEX1,11,ACICLOVIR,FRASCO SUSPENSION 120 ML 4 G/100 ML,0,0,-
2014-12-30,PEMEX1,12,ACICLOVIR,CAJA CON 35 TABLETAS 400 MG,0,0,-
2014-12-30,PEMEX1,13,ACICLOVIR,TUBO CREMA 5 G 0.05 G/G,0,0,-
2014-12-30,PEMEX1,14,ACICLOVIR,CAJA CON 25 COMPRIMIDOS 200MG,0,0,-
2014-12-30,PEMEX1,15,ACIDO ASCORBICO (VITAMINA C) 100 MG,"ACIDO FOLICO. 0.4 MG BIOTINA 0.060MG FRASCO AMPULA LIOFILIZADO 5 ML 100 MG/0.4 MG/0.060 MG/0.005 MG/15 MG/3.6 MG/40 MG/4 MG/3 MG/3,300 U.I./200 U.I./10 U.I./0.2 MG",0,0,-
2014-12-30,PEMEX1,16,ADALIMUMAB,CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,0,0,-
2014-12-30,PEMEX1,17,ALBENDAZOL,FRASCO SOLUCION 10 ML 200 MG,0,0,-
2014-12-30,PEMEX1,18,ALBENDAZOL,CAJA CON 6 TABLETAS 200 MG,0,0,-
2014-12-30,PEMEX1,19,ALBENDAZOL,QUINFAMIDA CAJA CON 2 TABLETAS 200 MG/150 MG,0,0,-
2014-12-30,PEMEX1,20,ALBENDAZOL,QUINFAMIDA FRASCO SUSPENSIÓN 400MG/100MG 10 ML,0,0,-
2014-12-30,PEMEX1,21,ALENDRONATO SODICO,CAJA 4 COMPRIMIDOS O GRAGEAS 70 MG,0,0,-
2014-12-30,PEMEX1,22,ALFACALCIDOL,CAJA CON 30 CAPSULAS 1 MCG,0,0,-
2014-12-30,PEMEX1,23,ALFAMETILDOPA (METILDOPA),CAJA CON 30 TABLETAS 250 MG,0,0,-
2014-12-30,PEMEX1,24,ALFUZOSINA CLORHIDRATO DE,CAJA CON 28 TABLETAS DE LIBERACION PROLONGADA 10 MG,0,0,-
2014-12-30,PEMEX1,25,ALISKIREN HEMIFUMARATO DE ,HIDROCLOROTIAZIDA CAJA CON 28 COMPRIMIDOS 300/12.5 MG,0,0,-
2014-12-30,PEMEX1,26,ALISKIRENO HEMIFUMARATO DE,CAJA CON 28 COMPRIMIDOS 300 MG,0,0,-
2014-12-30,PEMEX1,27,ALOGLUTAMOL,FRASCO POLVO 120 ML 1 G / 5 ML,0,0,-
2014-12-30,PEMEX1,28,ALOPURINOL,CAJA CON 20 TABLETAS 300 MG,0,0,-
2014-12-30,PEMEX1,29,ALPRAZOLAM,CAJA CON 30 TABLETAS 0.50 MG,0,0,-
2014-12-30,PEMEX1,30,ALPRAZOLAM,CAJA CON 30 TABLETAS 0.25 MG,0,0,-
2014-12-30,PEMEX1,31,ALPRAZOLAM,CAJA CON 30 TABLETAS 1 MG,0,0,-
2014-12-30,PEMEX1,32,ALQUITRAN DE HULLA ,ALANTOINA CLIOQUINOL FRASCO SOLUCIÓN 150G 5G / 0.2G / 3G 100 G,0,0,-
2014-12-30,PEMEX1,33,ALUMINIO HIDROXIDO DE,MAGNESIO HIDROXIDO DE DIMETICONA FRASCO SUSPENSION 360 ML 3.7/4/0.5 G/100 ML,0,0,-
2014-12-30,PEMEX1,34,AMANTADINA,CAJA CON 30 TABLETAS 100 MG,0,0,-
2014-12-30,PEMEX1,35,AMBROXOL,FRASCO SOLUCION GOTERO 30 ML 0.750 G/100 ML,0,0,-
2014-12-30,PEMEX1,36,AMBROXOL,FRASCO SOLUCION 120 ML 300 MG/100 ML,0,0,-
2014-12-30,PEMEX1,37,AMBROXOL CLORHIDRATO,CAJA CON 20 COMPRIMIDOS O TABLETAS 0.030 G,0,0,-
2014-12-30,PEMEX1,38,AMIKACINA SULFATO DE,FRASCO AMPULA 2 ML 500 MG,0,0,-
2014-12-30,PEMEX1,39,AMIKACINA SULFATO DE,FRASCO AMPULA 2 ML 100 MG,0,0,-
2014-12-30,PEMEX1,40,AMILORIDA,HIDROCLOROTIAZIDA CAJA CON 30 TABLETAS 5/50 MG,0,0,-
2014-12-30,PEMEX1,41,AMINOFENAZONA,BUFENINA DIFENILPIRALINA CAJA CON 20 CAPSULAS 40/1.5 /1.5 MG,0,0,-
2014-12-30,PEMEX1,42,AMINOFENAZONA,BUFENINA DIFENILPIRALINA FRASCO SOLUCION PEDIATRICA 25 ML 2 G / 75 / 75 MG / 100 ML,0,0,-
2014-12-30,PEMEX1,43,AMIODARONA,CAJA CON 20 TABLETAS 200 MG,0,0,-
2014-12-30,PEMEX1,44,AMITRIPTILINA,CLORHIDRATO DE CAJA CON 50 TABLETAS 25 MG,0,0,-
2014-12-30,PEMEX1,45,AMLODIPINA BESILATO DE,CAJA CON 30 TABLETAS 5 MG,0,0,-
2014-12-30,PEMEX1,46,AMLODIPINA BESILATO DE ,VALSARTAN CAJA CON 28 COMPRIMIDOS 5 MG/160 MG,0,0,-
2014-12-30,PEMEX1,47,AMLODIPINA BESILATO DE ,VALSARTAN HIDROCLOROTIAZIDA CAJA 28 COMPRIMIDOS 5 MG / 160 MG / 12.5 MG,0,0,-
2014-12-30,PEMEX1,48,AMOXICILINA TRIHIDRATADA,FRASCO SUSPENSION 75 ML 500 MG,0,0,-
2014-12-30,PEMEX1,49,AMOXICILINA TRIHIDRATADA,FRASCO SUSPENSION 75 ML 250 MG,0,0,-
2014-12-30,PEMEX1,50,AMOXICILINA TRIHIDRATADA,CAJA CON 12 CAPSULAS 500 MG,0,0,-
2014-12-30,PEMEX1,51,AMOXICILINA TRIHIDRATADA,BROMHEXINA CLORHIDRATO DE FRASCO SUSPENSION 75 ML 250/8 MG /5ML,0,0,-
2014-12-30,PEMEX1,52,AMOXICILINA TRIHIDRATADA,BROMHEXINA CLORHIDRATO DE CAJA CON 12 CAPSULAS 500/8 MG,0,0,-
2014-12-30,PEMEX1,53,AMOXICILINA TRIHIDRATADA,CLAVULANATO DE POTASIO FRASCO SUSPENSION 60 ML 125 MG/31.25 MG,0,0,-
2014-12-30,PEMEX1,54,AMOXICILINA TRIHIDRATADA,CLAVULANATO DE POTASIO (CLAVULANICO ACIDO) FRASCO SUSPENSION 50 ML 400/57 MG /5 ML,0,0,-
2014-12-30,PEMEX1,55,AMOXICILINA TRIHIDRATADA,CLAVULANATO DE POTASIO (CLAVULANICO ACIDO) FRASCO SUSPENSION 75 ML 250/62.5 MG,0,0,-
2014-12-30,PEMEX1,56,AMOXICILINA TRIHIDRATADA,CLAVULANATO DE POTASIO (CLAVULANICO ACIDO) FRASCO 15 TABLETAS 500/125 MG,0,0,-
2014-12-30,PEMEX1,57,AMPICILINA,FRASCO AMPULA 1GR,0,0,-
2014-12-30,PEMEX1,58,AMPICILINA,FRASCO AMPULA 500 MG,0,0,-
2014-12-30,PEMEX1,59,AMPICILINA TRIHIDRATADA,FRASCO SUSPENSION 90 ML 250 MG,0,0,-
2014-12-30,PEMEX1,60,AMPICILINA TRIHIDRATADA,CAJA CON 12 COMPRIMIDOS 1 G,0,0,-
2014-12-30,PEMEX1,61,ANASTROZOL,CAJA CON 28 TABLETAS 1 MG,0,0,-
2014-12-30,PEMEX1,62,ANFEBUTANONA,CAJA CON 15 TABLETAS 150 MG,0,0,-
2014-12-30,PEMEX1,63,APREPITANT,CAJA 1 CAPSULA 125 MG Y 2 CAPSULAS DE 80 MG,0,0,-
2014-12-30,PEMEX1,64,ARIPIPRAZOLE,CAJA CON 20 TABLETAS 15 MG,0,0,-
2014-12-30,PEMEX1,65,ASCORBICO ACIDO,CAJA CON 10 COMPRIMIDOS EFERVESCENTE 2 GR,0,0,-
2014-12-30,PEMEX1,66,ATENOLOL,CAJA CON 28 TABLETAS 50 MG,0,0,-
2014-12-30,PEMEX1,67,ATENOLOL,CLORTALIDONA CAJA CON 28 TABLETAS 100/25 MG,0,0,-
2014-12-30,PEMEX1,68,ATENOLOL,CLORTALIDONA CAJA CON 28 TABLETAS 50/12.5 MG,0,0,-
2014-12-30,PEMEX1,69,ATOMOXETINA CLORHIDRATO,CAJA CON 14 CAPSULAS 40 MG,0,0,-
2014-12-30,PEMEX1,70,ATOMOXETINA CLORHIDRATO,CAJA CON 14 CAPSULAS 18 MG,0,0,-
2014-12-30,PEMEX1,71,ATOMOXETINA CLORHIDRATO,CAJA CON 14 CAPSULAS 25 MG,0,0,-
2014-12-30,PEMEX1,72,ATOMOXETINA CLORHIDRATO,CAJA 14 CAPSULAS 10 MG,0,0,-
2014-12-30,PEMEX1,73,ATOMOXETINA CLORHIDRATO,CAJA 14 CAPSULAS 60 MG,0,0,-
