106|TLALNEPANTLA        |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
107|PORTALES            |75000950|NIVEA CREMA CHICA LAT 20G|4.00|4.00|000000008.07|32.2800                                                                                                                                                                                                                                                                                                                                                                                                                          
108|SAN COSME           |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
116|TLAHUAC             |75000950|NIVEA CREMA CHICA LAT 20G|2.00|2.00|000000008.07|16.1400                                                                                                                                                                                                                                                                                                                                                                                                                          
501|TIJUANA 01          |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
504|OBREG 01            |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
806|LA PAZ 1            |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
105|CINCO DE MAYO       |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
106|TLALNEPANTLA        |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|1.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
107|PORTALES            |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
108|SAN COSME           |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
114|PURISIMA            |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
