103|d.cuenta|MADERO              |8400001313|TETRAZOL GOT 15ML|12.00|12.00|000000035.18|422.1600                                                                                                                                                                                                                                                                                                                                                                                                                    
103|d.cuenta|MADERO              |8400002198|CLORAN OFTALMICO SOL 15ML|1.00|1.00|000000044.42|44.4200                                                                                                                                                                                                                                                                                                                                                                                                               
103|d.cuenta|MADERO              |37000394969|NATURELLA F ABUND C/A BOL 14|8.00|8.00|000000030.72|245.7600                                                                                                                                                                                                                                                                                                                                                                                                          
103|d.cuenta|MADERO              |650240007651|BIOELECTRO TAB 24|9.00|9.00|000000046.49|418.4100                                                                                                                                                                                                                                                                                                                                                                                                                    
103|d.cuenta|MADERO              |650240010712|TUKOL D AD JAR 125ML|12.00|12.00|000000049.26|591.1200                                                                                                                                                                                                                                                                                                                                                                                                               
103|d.cuenta|MADERO              |650240017100|XL-3 VR 3/50/375MG TAB 24|3.00|3.00|000000047.10|141.3000                                                                                                                                                                                                                                                                                                                                                                                                            
103|d.cuenta|MADERO              |650240028335|GARGAX BUCOFARINGEA 2.5% FRA 60ML|6.00|6.00|000000037.18|223.0800                                                                                                                                                                                                                                                                                                                                                                                                    
103|d.cuenta|MADERO              |650240029028|XYLOPROCT PLUS 60/5MG SUP 6|3.00|3.00|000000069.05|207.1500                                                                                                                                                                                                                                                                                                                                                                                                          
103|d.cuenta|MADERO              |714706100109|BRONCOLIN JBE 250ML|1.00|1.00|000000069.32|69.3200                                                                                                                                                                                                                                                                                                                                                                                                                   
103|d.cuenta|MADERO              |714706100307|BRONCOLIN JBE 140ML|3.00|3.00|000000042.36|127.0800                                                                                                                                                                                                                                                                                                                                                                                                                  
103|d.cuenta|MADERO              |736085051063|DELTAMID OFT GOT 5ML|1.00|1.00|000000199.91|199.9100                                                                                                                                                                                                                                                                                                                                                                                                                 
103|d.cuenta|MADERO              |4005808802814|NIVEA BODY MILK RESECA CRE 125ML|2.00|2.00|000000015.80|31.6000                                                                                                                                                                                                                                                                                                                                                                                                     
103|d.cuenta|MADERO              |4005808803002|NIVEA BODY MILK NORMAL CRE 125ML|3.00|3.00|000000015.80|47.4000                                                                                                                                                                                                                                                                                                                                                                                                     
103|d.cuenta|MADERO              |7501001258030|PEPTO BISMOL SOBRES TAB 6X4|3.00|3.00|000000048.48|145.4400                                                                                                                                                                                                                                                                                                                                                                                                         
103|d.cuenta|MADERO              |7501022101209|GRISI AZUFRE C/LANOLINA JAB 100G|2.00|2.00|000000026.47|52.9400                                                                                                                                                                                                                                                                                                                                                                                                     
103|d.cuenta|MADERO              |7501034645067|LONOL SPORT GEL 30G|1.00|1.00|000000062.85|62.8500                                                                                                                                                                                                                                                                                                                                                                                                                  
103|d.cuenta|MADERO              |7501034650559|MUCOSOLVAN 300MG SOL 120ML|1.00|1.00|000000107.82|107.8200                                                                                                                                                                                                                                                                                                                                                                                                          
103|d.cuenta|MADERO              |7501037908084|BUSCAPINA GRA 12|5.00|5.00|000000059.90|299.5000                                                                                                                                                                                                                                                                                                                                                                                                                    
103|d.cuenta|MADERO              |7501037908619|BUSCAPINA 10MG GRA 24|1.00|1.00|000000120.09|120.0900                                                                                                                                                                                                                                                                                                                                                                                                               
