103|MADERO              |75000950|NIVEA CREMA CHICA LAT 20G|10.00|10.00|000000008.07|80.7000                                                                                                                                                                                                                                                                                                                                                                                                                        
105|CINCO DE MAYO       |75000950|NIVEA CREMA CHICA LAT 20G|20.00|20.00|000000008.07|161.4000                                                                                                                                                                                                                                                                                                                                                                                                                       
106|TLALNEPANTLA        |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
108|SAN COSME           |75000950|NIVEA CREMA CHICA LAT 20G|6.00|6.00|000000008.07|48.4200                                                                                                                                                                                                                                                                                                                                                                                                                          
109|TACUBA              |75000950|NIVEA CREMA CHICA LAT 20G|7.00|7.00|000000008.07|56.4900                                                                                                                                                                                                                                                                                                                                                                                                                          
112|NAUCALPAN           |75000950|NIVEA CREMA CHICA LAT 20G|5.00|5.00|000000008.07|40.3500                                                                                                                                                                                                                                                                                                                                                                                                                          
201|AZCAPOTZALCO        |75000950|NIVEA CREMA CHICA LAT 20G|4.00|4.00|000000008.07|32.2800                                                                                                                                                                                                                                                                                                                                                                                                                          
501|TIJUANA 01          |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
504|OBREG 01            |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
806|LA PAZ 1            |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
812|LA PAZ 2            |75000950|NIVEA CREMA CHICA LAT 20G|0.00|1.00|000000008.07|8.0700                                                                                                                                                                                                                                                                                                                                                                                                                           
103|MADERO              |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|1.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
105|CINCO DE MAYO       |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
107|PORTALES            |75001858|PALMOLIVE BRILLANTINA LIQ 199ML|0.00|1.00|000000023.11|23.1100                                                                                                                                                                                                                                                                                                                                                                                                                    
